,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000409709|NA:Keyword|WP_087942833.1|integration/excision|NA|COMPASS|Keyword Search,NODE_1_length_682687_cov_37.188547_2 # 290 # 901 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364,98.5,374,290,2.26e-131,204,8,203,1,196,mobileOG_000409709,NA:Keyword,WP_087942833.1,integration/excision,NA,COMPASS,Keyword Search,NODE_1_length_682687_cov_37.188547_2, 290 # 901 # -1 , 290,901,-1 ,1_2,1,2,00,ATG,None,None,0.364,NODE_1_length_682687_cov_37.188547,mobileOG_000409709_NODE_1_length_682687_cov_37.188547
1,mobileOG_000409669|NA:Keyword|WP_144406502.1|integration/excision|NA|COMPASS|Keyword Search,NODE_1_length_682687_cov_37.188547_2 # 290 # 901 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364,98.0,372,290,1.31e-130,204,8,203,1,196,mobileOG_000409669,NA:Keyword,WP_144406502.1,integration/excision,NA,COMPASS,Keyword Search,NODE_1_length_682687_cov_37.188547_2, 290 # 901 # -1 , 290,901,-1 ,1_2,1,2,00,ATG,None,None,0.364,NODE_1_length_682687_cov_37.188547,mobileOG_000409669_NODE_1_length_682687_cov_37.188547
2,mobileOG_000414876|NA:Keyword|WP_085960091.1|integration/excision|NA|COMPASS|Keyword Search,NODE_1_length_682687_cov_37.188547_2 # 290 # 901 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364,97.4,371,290,2.63e-130,204,8,203,1,196,mobileOG_000414876,NA:Keyword,WP_085960091.1,integration/excision,NA,COMPASS,Keyword Search,NODE_1_length_682687_cov_37.188547_2, 290 # 901 # -1 , 290,901,-1 ,1_2,1,2,00,ATG,None,None,0.364,NODE_1_length_682687_cov_37.188547,mobileOG_000414876_NODE_1_length_682687_cov_37.188547
3,mobileOG_000411994|NA:Keyword|WP_154818497.1|integration/excision|NA|COMPASS|Keyword Search,NODE_1_length_682687_cov_37.188547_2 # 290 # 901 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364,97.4,369,290,1.52e-129,204,8,203,1,196,mobileOG_000411994,NA:Keyword,WP_154818497.1,integration/excision,NA,COMPASS,Keyword Search,NODE_1_length_682687_cov_37.188547_2, 290 # 901 # -1 , 290,901,-1 ,1_2,1,2,00,ATG,None,None,0.364,NODE_1_length_682687_cov_37.188547,mobileOG_000411994_NODE_1_length_682687_cov_37.188547
4,mobileOG_000414897|NA:Keyword|WP_129542617.1|integration/excision|NA|COMPASS|Keyword Search,NODE_1_length_682687_cov_37.188547_2 # 290 # 901 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364,97.4,369,290,1.52e-129,204,8,203,1,196,mobileOG_000414897,NA:Keyword,WP_129542617.1,integration/excision,NA,COMPASS,Keyword Search,NODE_1_length_682687_cov_37.188547_2, 290 # 901 # -1 , 290,901,-1 ,1_2,1,2,00,ATG,None,None,0.364,NODE_1_length_682687_cov_37.188547,mobileOG_000414897_NODE_1_length_682687_cov_37.188547
5,mobileOG_000748345|NA:Keyword|WP_087942833.1|integration/excision|NA|Plasmid RefSeq|Keyword Search,NODE_1_length_682687_cov_37.188547_2 # 290 # 901 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364,98.5,374,447,4.46e-129,204,165,360,1,196,mobileOG_000748345,NA:Keyword,WP_087942833.1,integration/excision,NA,Plasmid RefSeq,Keyword Search,NODE_1_length_682687_cov_37.188547_2, 290 # 901 # -1 , 290,901,-1 ,1_2,1,2,00,ATG,None,None,0.364,NODE_1_length_682687_cov_37.188547,mobileOG_000748345_NODE_1_length_682687_cov_37.188547
6,mobileOG_000731151|NA:Keyword|WP_087942833.1|integration/excision|NA|Plasmid RefSeq|Keyword Search,NODE_1_length_682687_cov_37.188547_2 # 290 # 901 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364,98.0,372,447,1.27e-128,204,165,360,1,196,mobileOG_000731151,NA:Keyword,WP_087942833.1,integration/excision,NA,Plasmid RefSeq,Keyword Search,NODE_1_length_682687_cov_37.188547_2, 290 # 901 # -1 , 290,901,-1 ,1_2,1,2,00,ATG,None,None,0.364,NODE_1_length_682687_cov_37.188547,mobileOG_000731151_NODE_1_length_682687_cov_37.188547
7,mobileOG_000741127|NA:Keyword|WP_085960091.1|integration/excision|NA|Plasmid RefSeq|Keyword Search,NODE_1_length_682687_cov_37.188547_2 # 290 # 901 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364,97.4,371,447,5.14e-128,204,165,360,1,196,mobileOG_000741127,NA:Keyword,WP_085960091.1,integration/excision,NA,Plasmid RefSeq,Keyword Search,NODE_1_length_682687_cov_37.188547_2, 290 # 901 # -1 , 290,901,-1 ,1_2,1,2,00,ATG,None,None,0.364,NODE_1_length_682687_cov_37.188547,mobileOG_000741127_NODE_1_length_682687_cov_37.188547
8,mobileOG_000411202|NA:Keyword|WP_076611614.1|integration/excision|NA|COMPASS|Keyword Search,NODE_1_length_682687_cov_37.188547_2 # 290 # 901 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364,94.9,364,290,1.02e-127,204,8,203,1,196,mobileOG_000411202,NA:Keyword,WP_076611614.1,integration/excision,NA,COMPASS,Keyword Search,NODE_1_length_682687_cov_37.188547_2, 290 # 901 # -1 , 290,901,-1 ,1_2,1,2,00,ATG,None,None,0.364,NODE_1_length_682687_cov_37.188547,mobileOG_000411202_NODE_1_length_682687_cov_37.188547
9,mobileOG_000755835|NA:Keyword|WP_139032841.1|integration/excision|NA|Plasmid RefSeq|Keyword Search,NODE_1_length_682687_cov_37.188547_2 # 290 # 901 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364,97.4,370,447,1.03e-127,204,165,360,1,196,mobileOG_000755835,NA:Keyword,WP_139032841.1,integration/excision,NA,Plasmid RefSeq,Keyword Search,NODE_1_length_682687_cov_37.188547_2, 290 # 901 # -1 , 290,901,-1 ,1_2,1,2,00,ATG,None,None,0.364,NODE_1_length_682687_cov_37.188547,mobileOG_000755835_NODE_1_length_682687_cov_37.188547
10,mobileOG_000755869|NA:Keyword|WP_139032699.1|integration/excision|NA|Plasmid RefSeq|Keyword Search,NODE_1_length_682687_cov_37.188547_2 # 290 # 901 # -1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.364,97.4,370,447,1.03e-127,204,165,360,1,196,mobileOG_000755869,NA:Keyword,WP_139032699.1,integration/excision,NA,Plasmid RefSeq,Keyword Search,NODE_1_length_682687_cov_37.188547_2, 290 # 901 # -1 , 290,901,-1 ,1_2,1,2,00,ATG,None,None,0.364,NODE_1_length_682687_cov_37.188547,mobileOG_000755869_NODE_1_length_682687_cov_37.188547
