,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000308581|oppA|WP_060446003.1|transfer|competence|Plasmid RefSeq|Homology,NODE_1_length_937840_cov_29.145223_184 # 211264 # 212883 # -1 # ID=1_184;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.601,94.2,1020,539,0.0,540,1,539,1,539,mobileOG_000308581,oppA,WP_060446003.1,transfer,competence,Plasmid RefSeq,Homology,NODE_1_length_937840_cov_29.145223_184, 211264 # 212883 # -1 , 211264,212883,-1 ,1_184,1,184,00,GTG,GGA/GAG/AGG,5-10bp,0.601,NODE_1_length_937840_cov_29.145223,mobileOG_000308581_NODE_1_length_937840_cov_29.145223
1,mobileOG_000282574|oppA|WP_033653107.1|transfer|competence|Plasmid RefSeq|Homology,NODE_1_length_937840_cov_29.145223_184 # 211264 # 212883 # -1 # ID=1_184;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.601,94.1,1019,553,0.0,540,15,553,1,539,mobileOG_000282574,oppA,WP_033653107.1,transfer,competence,Plasmid RefSeq,Homology,NODE_1_length_937840_cov_29.145223_184, 211264 # 212883 # -1 , 211264,212883,-1 ,1_184,1,184,00,GTG,GGA/GAG/AGG,5-10bp,0.601,NODE_1_length_937840_cov_29.145223,mobileOG_000282574_NODE_1_length_937840_cov_29.145223
2,mobileOG_000303999|oppA|A0A221DQU9|transfer|competence|Plasmid RefSeq|Homology,NODE_1_length_937840_cov_29.145223_269 # 301755 # 303389 # -1 # ID=1_269;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.586,98.9,1082,544,0.0,545,1,544,1,544,mobileOG_000303999,oppA,A0A221DQU9,transfer,competence,Plasmid RefSeq,Homology,NODE_1_length_937840_cov_29.145223_269, 301755 # 303389 # -1 , 301755,303389,-1 ,1_269,1,269,00,ATG,GGA/GAG/AGG,5-10bp,0.586,NODE_1_length_937840_cov_29.145223,mobileOG_000303999_NODE_1_length_937840_cov_29.145223
3,mobileOG_000313844|oppA|A0A221DQU9|transfer|competence|Plasmid RefSeq|Homology,NODE_1_length_937840_cov_29.145223_269 # 301755 # 303389 # -1 # ID=1_269;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.586,98.7,1081,544,0.0,545,1,544,1,544,mobileOG_000313844,oppA,A0A221DQU9,transfer,competence,Plasmid RefSeq,Homology,NODE_1_length_937840_cov_29.145223_269, 301755 # 303389 # -1 , 301755,303389,-1 ,1_269,1,269,00,ATG,GGA/GAG/AGG,5-10bp,0.586,NODE_1_length_937840_cov_29.145223,mobileOG_000313844_NODE_1_length_937840_cov_29.145223
4,mobileOG_000353715|topA|WP_033647571.1|replication/recombination/repair|NA|Plasmid RefSeq|Homology,NODE_1_length_937840_cov_29.145223_337 # 382818 # 385415 # -1 # ID=1_337;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588,99.7,1718,865,0.0,866,1,865,1,865,mobileOG_000353715,topA,WP_033647571.1,replication/recombination/repair,NA,Plasmid RefSeq,Homology,NODE_1_length_937840_cov_29.145223_337, 382818 # 385415 # -1 , 382818,385415,-1 ,1_337,1,337,00,ATG,GGA/GAG/AGG,5-10bp,0.588,NODE_1_length_937840_cov_29.145223,mobileOG_000353715_NODE_1_length_937840_cov_29.145223
5,mobileOG_000305021|dnaE2|WP_033653008.1|replication/recombination/repair|NA|Plasmid RefSeq|Homology,NODE_1_length_937840_cov_29.145223_346 # 392111 # 392992 # -1 # ID=1_346;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.636,98.0,575,293,2.82e-209,294,1,293,1,293,mobileOG_000305021,dnaE2,WP_033653008.1,replication/recombination/repair,NA,Plasmid RefSeq,Homology,NODE_1_length_937840_cov_29.145223_346, 392111 # 392992 # -1 , 392111,392992,-1 ,1_346,1,346,00,TTG,GGA/GAG/AGG,5-10bp,0.636,NODE_1_length_937840_cov_29.145223,mobileOG_000305021_NODE_1_length_937840_cov_29.145223
6,mobileOG_000305018|dnaE2|WP_033647575.1|replication/recombination/repair|NA|Plasmid RefSeq|Homology,NODE_1_length_937840_cov_29.145223_346 # 392111 # 392992 # -1 # ID=1_346;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.636,97.6,572,293,4.68e-208,294,1,293,1,293,mobileOG_000305018,dnaE2,WP_033647575.1,replication/recombination/repair,NA,Plasmid RefSeq,Homology,NODE_1_length_937840_cov_29.145223_346, 392111 # 392992 # -1 , 392111,392992,-1 ,1_346,1,346,00,TTG,GGA/GAG/AGG,5-10bp,0.636,NODE_1_length_937840_cov_29.145223,mobileOG_000305018_NODE_1_length_937840_cov_29.145223
7,"mobileOG_000025575|tonB|WP_016927510.1|transfer|phage,receptor|Plasmid RefSeq|Manual",NODE_1_length_937840_cov_29.145223_360 # 405749 # 406492 # -1 # ID=1_360;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.593,90.7,322,247,7.12e-111,248,1,247,1,247,mobileOG_000025575,tonB,WP_016927510.1,transfer,"phage,receptor",Plasmid RefSeq,Manual,NODE_1_length_937840_cov_29.145223_360, 405749 # 406492 # -1 , 405749,406492,-1 ,1_360,1,360,00,ATG,AGGA/GGAG/GAGG,11-12bp,0.593,NODE_1_length_937840_cov_29.145223,mobileOG_000025575_NODE_1_length_937840_cov_29.145223
8,mobileOG_000301573|dps|WP_004932132.1|replication/recombination/repair|NA|Plasmid RefSeq|Homology,NODE_1_length_937840_cov_29.145223_374 # 420426 # 420917 # 1 # ID=1_374;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.539,99.4,322,163,9.59e-114,164,1,163,1,163,mobileOG_000301573,dps,WP_004932132.1,replication/recombination/repair,NA,Plasmid RefSeq,Homology,NODE_1_length_937840_cov_29.145223_374, 420426 # 420917 # 1 , 420426,420917,1 ,1_374,1,374,00,ATG,AGGAG,5-10bp,0.539,NODE_1_length_937840_cov_29.145223,mobileOG_000301573_NODE_1_length_937840_cov_29.145223
9,mobileOG_000370693|oppF|WP_025303071.1|transfer|competence|Plasmid RefSeq|Homology,NODE_1_length_937840_cov_29.145223_377 # 423297 # 424298 # -1 # ID=1_377;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.618,99.7,640,333,5.41e-234,334,1,333,1,333,mobileOG_000370693,oppF,WP_025303071.1,transfer,competence,Plasmid RefSeq,Homology,NODE_1_length_937840_cov_29.145223_377, 423297 # 424298 # -1 , 423297,424298,-1 ,1_377,1,377,00,ATG,GGAGG,5-10bp,0.618,NODE_1_length_937840_cov_29.145223,mobileOG_000370693_NODE_1_length_937840_cov_29.145223
